Status,Vessel type,Hull No.,Type,Dwt,GT,Size,Unit,CGT,Built,Builder,Yard Status,Contract Date,Owner,Owner Group,NB Price,Currency
On Order,Handy ,15121031,Chem & Oil,"34,500","23,000","34,500",DWT,"21,048",2018-10,Taizhou Sanfu,Established <2000,2014-Jul-10,Nova Shpg & Log,Nova Shpg & Log,30.00,$m
On Order,MR ,515,Chem & Oil,"49,999","23,084","49,999",DWT,"21,091",2018-09,3. Maj Brod.,Established <2000,2014-Jan-17,Marflet SA,Marflet SA,,
On Order,MR ,8220,Chem & Oil,"45,000","28,000","45,000",DWT,"23,453",2018-10,Brod. Trogir,Established <2000,2004-Oct-29,Viterlef Mgmt Ltd,Viterlef Mgmt Ltd,,$m
On Order,LR2 ,8221,AHTS,,"2,000","12,236",HP,"5,121",2018-12,PTUSP,Established >2010,2015-Nov-01,Tai Kong Holding,Tai Kong Holding,,
On Order,LR2 ,590,AHTS,,"2,000","12,236",HP,"5,121",2019-02,PTUSP,Established >2010,2015-Nov-01,Tai Kong Holding,Tai Kong Holding,,
On Order,LR2 ,589,Ethane/LPG,"65,000",,"93,000",cu.m.,"25,809",2020-08,Samsung HI,Established <2000,2018-Jul-20,Delos Shipping,Delos Shipping,122.50,$m
On Order,LR2 ,5150,Ethane/LPG,"65,000",,"93,000",cu.m.,"25,809",2020-10,Samsung HI,Established <2000,2018-Jul-20,Delos Shipping,Delos Shipping,122.50,$m
On Order,LR2 ,5145,Ethane/LPG,"65,000",,"93,000",cu.m.,"25,809",2020-12,Samsung HI,Established <2000,2018-Jul-20,Delos Shipping,Delos Shipping,122.50,$m
On Order,LR2 ,5159,Ethane/LPG,"65,000",,"93,000",cu.m.,"25,809",2020-08,Hyundai HI (Ulsan),Established <2000,2018-Jul-20,Delos Shipping,Delos Shipping,,
On Order,LR2 ,5144,Ethane/LPG,"65,000",,"93,000",cu.m.,"25,809",2020-10,Hyundai HI (Ulsan),Established <2000,2018-Jul-20,Delos Shipping,Delos Shipping,,
On Order,LR2 ,5151,Ethane/LPG,"65,000",,"93,000",cu.m.,"25,809",2020-12,Hyundai HI (Ulsan),Established <2000,2018-Jul-20,Delos Shipping,Delos Shipping,,
On Order,LR2 ,5158,L.P.G.,"55,000",,"80,000",cu.m.,"28,804",2019-10,Hyundai HI (Ulsan),Established <2000,2018-May-01,Solvang ASA,Solvang ASA,,
On Order,LR2 ,772,L.P.G.,"55,000",,"80,000",cu.m.,"28,804",2020-03,Hyundai HI (Ulsan),Established <2000,2018-Apr-06,JX Ocean,JXTG Holdings,,
On Order,LR2 ,YZJ2014-1239,L.P.G.,"55,000",,"80,000",cu.m.,"28,804",2019-08,Hyundai Samho HI,Established 2000-10,2018-Mar-01,Unknown,Unknown,,
On Order,LR2 ,YZJ2014-1241,L.P.G.,"55,000",,"80,000",cu.m.,"28,804",2019-09,Hyundai Samho HI,Established 2000-10,2018-Mar-01,Unknown,Unknown,,
On Order,LR2 ,YZJ2014-1240,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2019-10,Hyundai HI (Ulsan),Established <2000,2018-Jan-24,Kuwait Oil Tanker,Kuwait Petroleum,,
On Order,LR2 ,6020,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-02,Hyundai HI (Ulsan),Established <2000,2018-Jan-24,Kuwait Oil Tanker,Kuwait Petroleum,,
On Order,LR2 ,6038,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-05,Hyundai HI (Ulsan),Established <2000,2018-Jan-24,Kuwait Oil Tanker,Kuwait Petroleum,,
On Order,LR2 ,6040,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-06,Jiangnan SY Group,Established <2000,2018-Jan-16,Oriental Energy,Oriental Energy,66.00,$m
On Order,LR2 ,6021,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-09,Jiangnan SY Group,Established <2000,2018-Jan-16,Oriental Energy,Oriental Energy,66.00,$m
On Order,LR2 ,6022,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2019-11,Jiangnan SY Group,Established <2000,2018-Jan-03,Fortune China Shpg,Fortune China Shpg,,
On Order,LR2 ,6041,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-05,Jiangnan SY Group,Established <2000,2018-Jan-03,Fortune China Shpg,Fortune China Shpg,,
On Order,LR2 ,6051,L.P.G.,"50,000",,"80,200",cu.m.,"27,280",2020-08,HHIC-Phil (Subic SY),Established 2000-10,2017-Dec-20,Exmar,Exmar,,
On Order,LR2 ,H119,L.P.G.,"50,000",,"80,200",cu.m.,"27,280",2020-09,HHIC-Phil (Subic SY),Established 2000-10,2017-Dec-20,Exmar,Exmar,,
On Order,LR2 ,H121,L.P.G.,"50,000",,"80,000",cu.m.,"27,280",2019-06,Hyundai HI (Ulsan),Established <2000,2017-Oct-13,Vitol Group,Vitol Group,,
On Order,LR2 ,H123,L.P.G.,"50,000",,"80,000",cu.m.,"27,280",2019-07,Hyundai HI (Ulsan),Established <2000,2017-Oct-13,Vitol Group,Vitol Group,,
On Order,LR2 ,H118,L.P.G.,"54,000",,"82,200",cu.m.,"28,504",2019-12,Kawasaki HI Sakaide,Established <2000,2017-Oct-01,Phoenix Tankers,Mitsui O.S.K. Lines,,
