Flag,VesselName,VoyageNo,EmploymentStatus,OpenPort,OpenPortDate,Cargo,RepositionPort,RepositionDate,CurrentStatus,Comments,DWT,Type,IceClass,CompleteGMT,UpdatedBy,ROWIDT,LastCargoGrade,CommenceGMT,Fkey_Dim_Vessel_Id,Fkey_Dim_Voyage_Id,Estimate,UID
NA,STI Venere,52,Unfixed,WALVIS BAY,2019-02-21T17:24:04Z,GAS OIL/GAS OIL/GAS OIL+JET A1,WALVIS BAY,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-21T17:24:04Z,rstudio,11,CPP,2019-01-12T09:30:00Z,853,14012,1,853_1550769844
NA,Jennings Bay,45,Unfixed,TUXPAN,2019-02-13T00:30:00Z,GASOLINE+MTBE(CPP)/GASOLINE+MTBE(CPP)+NAPHTHA/JET A1+ULSD 10 PPM (FAME FREE),TUXPAN,2019-02-09,Arrived Load Port,NA,49990,MR,NO,2019-02-13T00:30:00Z,rstudio,12,CPP,2019-02-01T14:30:00Z,854,14022,1,854_1550017800
NA,Lafayette Bay,38,Unfixed,QUINTERO,2019-02-16T10:16:50Z,GASOLINE+MTBE(CPP)/GASOLINE/GASOLINE,QUINTERO,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-16T10:16:50Z,rstudio,13,CPP,2019-01-13T18:30:00Z,855,14024,1,855_1550312210
NA,STI San Telmo,8,Unfixed,AMSTERDAM,2019-02-18T07:16:21Z,JET A1/ULSD 10 PPM/GAS OIL,AMSTERDAM,2019-02-09,In Laden Leg,NA,49990,MR,YES,2019-02-18T07:16:21Z,rstudio,14,CPP,2019-01-31T12:00:00Z,857,14002,1,857_1550474181
NA,STI Soho,51,Unfixed,VISAKHAPATNAM,2019-02-13T16:30:00Z,GASOLINE/GASOLINE/GAS OIL,VISAKHAPATNAM,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-13T16:30:00Z,rstudio,15,CPP,2019-01-26T15:50:00Z,858,13996,1,858_1550075400
NA,STI Fontvieille,73,Unfixed,LAGOS (NIGERIA),2019-02-27T15:14:00Z,CPP/CONDENSATE/FAME,LAGOS (NIGERIA),2019-02-09,In Laden Leg,NA,49999,MR,N,2019-02-27T15:14:00Z,rstudio,16,CPP,2019-01-30T22:18:00Z,860,13706,1,860_1551280440
NA,STI Black Hawk,46,Unfixed,PASCAGOULA,2019-02-13T15:04:37Z,JET A1/GAS OIL+GASOLINE+JET A1/GASOLINE+GAS OIL,PASCAGOULA,2019-02-09,Prompt,NA,49990,MR,NO,2019-02-13T15:04:37Z,rstudio,17,CPP,2019-02-03T17:00:00Z,862,13806,0,862_1549213200
NA,STI Bosphorus,21,Unfixed,MOSSEL BAY,2019-02-22T00:00:00Z,CONDENSATE/GASOLINE/GASOLINE,MOSSEL BAY,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-22T00:00:00Z,rstudio,18,CPP,2019-01-17T21:24:00Z,863,13817,1,863_1550793600
NA,STI Galata,23,Unfixed,PUERTO MOIN,2019-02-13T11:32:18Z,GASOLINE/GASOLINE/CONDENSATE,PUERTO MOIN,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-13T11:32:18Z,rstudio,19,CPP,2019-01-26T20:12:00Z,866,13862,1,866_1550057538
NA,STI Gramercy,39,Unfixed,DEVIATION POINT,2019-02-11T20:18:00Z,CPP/CPP/CPP,DEVIATION POINT,2019-02-09,Prompt,NA,49990,MR,NA,2019-02-11T20:18:00Z,rstudio,20,CPP,2019-02-02T20:42:00Z,867,13873,0,867_1549140120
NA,STI Queens,40,Unfixed,PAJARITOS,2019-02-13T20:39:45Z,ULSD+JET A1/GASOLINE/GASOLINE,PAJARITOS,2019-02-09,Arrived Load Port,NA,49990,MR,NO,2019-02-13T20:39:45Z,rstudio,21,CPP,2019-02-02T22:00:00Z,869,13958,1,869_1550090385
NA,STI Regina,50,Unfixed,MTWARA,2019-02-10T00:16:14Z,GASOLINE+GAS OIL/GAS OIL+GASOLINE/VEGOIL,MTWARA,2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-02-10T00:16:14Z,rstudio,22,CPP,2019-01-07T02:12:00Z,870,13962,1,870_1549757774
NA,Harrison Bay,38,Unfixed,LAGOS (NIGERIA),2019-03-04T23:00:05Z,GASOLINE/GASOLINE/JET A1,LAGOS (NIGERIA),2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-03-04T23:00:05Z,rstudio,23,CPP,2019-01-21T15:30:00Z,871,14021,1,871_1551740405
