tonnageId,EmploymentStatus,Owners,OpenPort,Operators,CargoType,Comment,ETABasis,OpenDate,ReportType,ReportTimestamp,RepositionRegion,Source,VesselName,Built,DWT,Cubics,LOA,ICE,SternLine,VesselType
5983,,TB Marine Hamburg,,gtp,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,GINNY,2008,73948,84166,228,No,,
6096,,SK Holdings,,sk shipping,DPP,hold,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PRO ALLIANCE,2008,105348,118455,244,No,,
5993,,SCF Group,,glencore,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SCF PIONEER,2011,74120,84188,228,No,,
6018,,Enterprises Shipping,,golden energy marine,CPP,ex usac / f.o.c,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ENERGY CENTURION,2008,74998,84694,228,No,,
5996,,Southern Shpg. & F.,,navig8,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,THEODOSIA,2004,69999,80986,228,No,,
6032,,BW Group,,bw group,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW YANGTZE,2009,76547,83687,228,No,,
6042,,,,,CPP,wafr opts,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,cielo di houston,,,,,,,
6056,,Scorpio Group,8-feb,Scorpio,,ex east / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI CARNABY,2015,109999,125294,250,No,,
6066,,Eletson Corporation,,tsakos,,ICE 1A/hold,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SALAMINA,2018,109898,82582,236,Yes,,
6100,,Scorpio Group,,Scorpio,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI ROSE,2015,115269,125721,256,No,,
6112,,Aktif Denizcilik,,heidmar,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PACIFIC SKY,2009,115395,128913,249,No,,
6029,,Prime Marine Mgmt,,prime marine,CPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FLAGSHIP VIOLET,2011,75338,84987,228,No,,
6039,,Reederei Nord,,nord,CPP,f.o.c./ subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NEPTUN D,2004,74999,84257,228,No,,
5956,,Dynacom Tankers Mgmt,,dynacom,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MELTEMI,2009,73307,84114,228,Yes,,
5966,,Gulf Energy Maritime,5-feb,gem,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,GULF COAST,2005,74999,82053,228,No,,
6002,,ADNOC,,abu dhabi national oil co.,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BANI YAS,2010,74913,83300,228,No,,
6109,,Orpheus Marine,,orpheus marine transport,DPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LYRIC MAGNOLIA,2016,109999,129541,250,No,,
6016,,Norstar Group,,panamax intl,CPP,ex wafr,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NORSTAR INVICTUS,2007,73611,84156,228,No,,
6026,,Product Shpg & Trd,,Product Shipping & Trading,CPP,ex wafr,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LA BOHEME,2007,73672,83189,228,Yes,,
6077,,Scorpio Group,,cssc,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI GOAL,2016,109999,120656,250,No,,
6083,,Fredriksen Group,,#n/a,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SEA PECOS,2018,109891,127299,250,No,,
5980,,China COSCO Shipping,,#n/a,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LIAN YANG HU,2018,72712,77081,220,No,,
6093,,Neda Maritime Agency,,neda maritime agency,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STELLATA,2016,109990,125898,239,No,,
